created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun May 05 04:58:08 +0000 2024,1786983697243394302,Another day another bea cukai drama,0,0,0,0,en,397246905,1786983697243394302,sipiweol,https://twitter.com/sipiweol/status/1786983697243394302
Sun May 05 03:06:24 +0000 2024,1786955578113486946,my account really went from architecture hater account to galau account to de-buzzer bea cukai account,0,0,0,0,en,1585112560202047489,1786955578113486946,kermitanto,https://twitter.com/kermitanto/status/1786955578113486946
Sat May 04 23:08:26 +0000 2024,1786895691622858756,"Bea cukai said : what?it wouldn't be happened""""",0,0,0,0,en,1455696180050944001,1786895691622858756,AnasRul87377927,https://twitter.com/AnasRul87377927/status/1786895691622858756
Sat May 04 17:04:04 +0000 2024,1786803994066845747,"What happened to bea cukai taun 2018an when i bought something for like 999k rupiah and the org becuk be like klo nambah seribu aja bakal kena pajak nih, untung engga ya""  And so everything goes according to the procedure and i didnt pay any tax yay 👍""",0,0,0,2,en,1401982661824970756,1786803994066845747,chiaroskuroo,https://twitter.com/chiaroskuroo/status/1786803994066845747
Sat May 04 14:26:05 +0000 2024,1786764236859043856,"Lebron james, scream if you love bea cukai",0,0,0,0,en,1156814896173989888,1786764236859043856,unrecognizeme,https://twitter.com/unrecognizeme/status/1786764236859043856
Sat May 04 06:55:42 +0000 2024,1786650893787791517,hacker indonesia plis hack akun bea cukai dong plis ya plis make it funny and annoying,0,1,3,48,en,1647285392,1786650893787791517,peachyslen,https://twitter.com/peachyslen/status/1786650893787791517
Sat May 04 02:47:29 +0000 2024,1786588431692468549,"It is true, the country is funny. Like KIPK, corruption, bea cukai, Hambalang, government, and many more",0,1,0,0,en,1675092857387126785,1786588431692468549,melovesatp,https://twitter.com/melovesatp/status/1786588431692468549
Fri May 03 19:07:10 +0000 2024,1786472585259298916,my mood is fucked i just got my period and bea cukai is being a bitch life is not good,0,6,6,76,en,873745402586988545,1786472585259298916,monsouleil,https://twitter.com/monsouleil/status/1786472585259298916
Fri May 03 16:51:03 +0000 2024,1786438333838803188,"someday buddy, someday.  someday when I have money to buy you and the money to pay the taxes in beacukai",0,0,0,0,en,995088492,1786438333838803188,gandheewara,https://twitter.com/gandheewara/status/1786438333838803188
Fri May 03 13:49:47 +0000 2024,1786392716701798414,hoping all my yuuta merchs comes home soon then i remember the devil that is BEA CUKAI,0,2,0,2,en,1452626890758320128,1786392716701798414,okkotsuloml,https://twitter.com/okkotsuloml/status/1786392716701798414
Fri May 03 12:44:27 +0000 2024,1786376271603405268,"Ella was only 15 years old when she completed the poster antikorupsi"" for beacukai. She can't even do a stick man now https://t.co/ipRuGzzocR""",0,4,0,11,en,1441195004806852616,1786376271603405268,MadKeewi,https://twitter.com/MadKeewi/status/1786376271603405268
Fri May 03 12:41:52 +0000 2024,1786375625017897201,Bea cukai don't mess with WIZONE 😡😡😤,0,0,0,0,en,1230097122986344448,1786375625017897201,Kiseki_4,https://twitter.com/Kiseki_4/status/1786375625017897201
Fri May 03 11:43:39 +0000 2024,1786360972158144984,netflix aren’t y’all interested to do documentary for beacukai bc each time i refresh the page new shit coming up like tf they been doing,0,0,0,0,en,1667199572152827905,1786360972158144984,tumeyay,https://twitter.com/tumeyay/status/1786360972158144984
Fri May 03 08:24:44 +0000 2024,1786310912288411703,"oke, dc cakung thingy is no longer funny. its time to “ketahan bea cukai” term.",0,0,0,0,en,114712977,1786310912288411703,thesanurm,https://twitter.com/thesanurm/status/1786310912288411703
Fri May 03 08:11:33 +0000 2024,1786307595248214201,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Candy Pendant  💸Harga = 144.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/GtIbAHSldr,0,0,0,0,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786307595248214201
